id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49573450,Landing | Modern Apartment with Amazing Amenities (ID151567),263502162,Landing,Downtown,Belltown,47.61791,-122.34725,Entire home/apt,117,30,0,,,24,312
49574865,Belltown1 br 1ba  Walk Everywhere Parking Pool Gym,4874276,Sarah,Downtown,Belltown,47.61595,-122.34869,Entire home/apt,161,3,2,2021-06-26,2,10,122
49575250,Brand New Stylish Condo Next to the Transit Center,338077094,Taylor,Downtown,Central Business District,47.61582,-122.32939,Entire home/apt,199,30,0,,,2,258
49578680,Landing | Modern Apartment with Amazing Amenities (ID375134),263502162,Landing,Other neighborhoods,Fremont,47.65423,-122.34266,Entire home/apt,173,30,0,,,24,322
49587954,Crown on the Hill in Seattle,1452570,Emily,Rainier Valley,Columbia City,47.55197,-122.28062,Entire home/apt,449,2,4,2021-07-05,3.75,4,21
49588620,Humble One Bedroom with Parking in Capitol Hill,198922750,Joseph,Capitol Hill,Stevens,47.62091,-122.30716,Entire home/apt,155,1,14,2021-07-06,6.77,2,317
49589798,Shady Grove,12584951,Jimmy,West Seattle,Alki,47.58185,-122.4026,Entire home/apt,281,2,3,2021-07-13,3,1,138
49590758,Entire Apartment - Private and Cozy!,308591390,Hope,Other neighborhoods,Roosevelt,47.67658,-122.31467,Entire home/apt,147,1,1,2021-05-27,0.61,1,301
49592590,Stunning & Updated 1BR Suite in a Great Location!,30670258,Matt,Magnolia,Southeast Magnolia,47.64673,-122.39103,Entire home/apt,113,1,2,2021-07-07,2,1,296
49594062,Private entrance basement in the heart of Ballard!,59100690,Michael,Ballard,West Woodland,47.66632,-122.36563,Private room,94,1,12,2021-07-09,6.67,1,1
49597259,"Hot hot hot location. In Seattle, ample parking",213636683,Seema,Ballard,West Woodland,47.66373,-122.36635,Entire home/apt,800,30,0,,,1,365
49598671,Seattle UPLACE University District TopFloor Studio,67090351,Chilli,Other neighborhoods,Ravenna,47.662708,-122.294739,Entire home/apt,150,30,1,2021-06-05,0.73,22,179
49598714,Elegant Fremont Getaway in the Heart of Seattle,26107449,Suzanne,Other neighborhoods,Fremont,47.65541,-122.34439,Entire home/apt,125,2,2,2021-07-09,2,1,31
49606606,"*New* Entire house, unique stay with Hot Tub",182268086,Juliana,Other neighborhoods,Fremont,47.662495,-122.351692,Entire home/apt,393,3,5,2021-07-04,4.55,3,226
49611456,Modern Condo in the Heart of Downtown Seattle!,80333752,Ashley & Mike,Downtown,Belltown,47.61555,-122.3483,Entire home/apt,265,2,9,2021-06-18,4.03,8,46
49613995,Chic Getaway | Pool & Hot Tub | Walk to Everything,140236800,TurnKey Vacation Rentals,Downtown,Belltown,47.61564,-122.34921,Entire home/apt,95,2,0,,,49,306
49615518,"Casa Blanca 1 – Private, Modern, Convenient, North Seattle, 2BR with Free Parking Lots, Walk to Restaurants",400489936,Allen 阿兰,Lake City,Olympic Hills,47.73362,-122.29446,Entire home/apt,135,1,12,2021-07-03,5.45,5,136
49615916,"Casa Blanca 2 – Private, Modern, Convenient, North Seattle, 2BR with Free Parking Lots, Walk to Restaurants",400489936,Allen 阿兰,Lake City,Olympic Hills,47.7337,-122.29436,Entire home/apt,132,1,11,2021-07-09,4.85,5,144
